datetime,instrument_name,price,amount,direction,index_price,iv,Underlying,ExpiryStr,Strike,Type,Expiry,ExpiryTime,T,Moneyness
58:07.9,BTC-11OCT25-112000-P,0.0024,0.2,sell,114610.44,70.68,BTC,11-Oct-25,112000,P,2025/10/11,2025/10/11 8:00,0.001259262,0.977223366
59:51.5,BTC-11OCT25-114000-P,0.007,0.2,sell,114169.08,54.73,BTC,11-Oct-25,114000,P,2025/10/11,2025/10/11 8:00,0.001255978,0.998519039
56:48.5,BTC-11OCT25-115000-C,0.0044,0.7,buy,114097.97,54.18,BTC,11-Oct-25,115000,C,2025/10/11,2025/10/11 8:00,0.001261779,1.00790575
59:31.0,BTC-11OCT25-116000-C,0.0021,0.9,sell,114373.98,49.33,BTC,11-Oct-25,116000,C,2025/10/11,2025/10/11 8:00,0.001256629,1.014216695
59:53.3,BTC-11OCT25-117000-C,0.0009,0.1,buy,114248.65,52.51,BTC,11-Oct-25,117000,C,2025/10/11,2025/10/11 8:00,0.001255919,1.024082123
56:24.9,BTC-11OCT25-118000-C,0.0002,0.7,sell,113609.35,55.06,BTC,11-Oct-25,118000,C,2025/10/11,2025/10/11 8:00,0.001262528,1.038646907
